scenario,date,scenario_value
2022 Drawdown (2022-01-03 to 2022-10-12),2022-04-22,91.1089096338701
2022 Drawdown (2022-01-03 to 2022-10-12),2022-04-25,91.49308442415442
2022 Drawdown (2022-01-03 to 2022-10-12),2022-04-26,90.09774239635543
2022 Drawdown (2022-01-03 to 2022-10-12),2022-04-27,89.96319214372986
2022 Drawdown (2022-01-03 to 2022-10-12),2022-04-28,91.41962920627581
2022 Drawdown (2022-01-03 to 2022-10-12),2022-04-29,89.08611643261433
2022 Drawdown (2022-01-03 to 2022-10-12),2022-05-02,88.9643829108842
2022 Drawdown (2022-01-03 to 2022-10-12),2022-05-03,89.4109512611942
2022 Drawdown (2022-01-03 to 2022-10-12),2022-05-04,91.03491785894829
2022 Drawdown (2022-01-03 to 2022-10-12),2022-05-05,88.63859996674162
2022 Drawdown (2022-01-03 to 2022-10-12),2022-05-06,87.94183184413671
2022 Drawdown (2022-01-03 to 2022-10-12),2022-05-09,86.02702944550043
2022 Drawdown (2022-01-03 to 2022-10-12),2022-05-10,86.10458042394384
2022 Drawdown (2022-01-03 to 2022-10-12),2022-05-11,85.42764368384623
2022 Drawdown (2022-01-03 to 2022-10-12),2022-05-12,85.36813830098022
2022 Drawdown (2022-01-03 to 2022-10-12),2022-05-13,86.52758103645412
2022 Drawdown (2022-01-03 to 2022-10-12),2022-05-16,86.22394377264911
2022 Drawdown (2022-01-03 to 2022-10-12),2022-05-17,87.19111647104806
2022 Drawdown (2022-01-03 to 2022-10-12),2022-05-18,85.51109833359781
2022 Drawdown (2022-01-03 to 2022-10-12),2022-05-19,85.32592337380459
2022 Drawdown (2022-01-03 to 2022-10-12),2022-05-20,85.50022821602631
2022 Drawdown (2022-01-03 to 2022-10-12),2022-05-23,86.24886170901553
2022 Drawdown (2022-01-03 to 2022-10-12),2022-05-24,86.08314154128016
2022 Drawdown (2022-01-03 to 2022-10-12),2022-05-25,86.70758104900244
2022 Drawdown (2022-01-03 to 2022-10-12),2022-05-26,87.64604599256757
2022 Drawdown (2022-01-03 to 2022-10-12),2022-05-27,89.08189022358543
2022 Drawdown (2022-01-03 to 2022-10-12),2022-05-31,88.34647752800761
2022 Drawdown (2022-01-03 to 2022-10-12),2022-06-01,87.97175981563534
2022 Drawdown (2022-01-03 to 2022-10-12),2022-06-02,89.09896647225428
2022 Drawdown (2022-01-03 to 2022-10-12),2022-06-03,88.09216840992094
2022 Drawdown (2022-01-03 to 2022-10-12),2022-06-06,87.93655253061127
2022 Drawdown (2022-01-03 to 2022-10-12),2022-06-07,88.7107450768713
2022 Drawdown (2022-01-03 to 2022-10-12),2022-06-08,87.85900832108705
2022 Drawdown (2022-01-03 to 2022-10-12),2022-06-09,86.62601768682514
2022 Drawdown (2022-01-03 to 2022-10-12),2022-06-10,85.04274835436412
2022 Drawdown (2022-01-03 to 2022-10-12),2022-06-13,82.30900071893934
2022 Drawdown (2022-01-03 to 2022-10-12),2022-06-14,81.960530078718
2022 Drawdown (2022-01-03 to 2022-10-12),2022-06-15,83.17119733895805
2022 Drawdown (2022-01-03 to 2022-10-12),2022-06-16,81.54117521738809
2022 Drawdown (2022-01-03 to 2022-10-12),2022-06-17,81.92604355909599
2022 Drawdown (2022-01-03 to 2022-10-12),2022-06-21,82.73032647038777
2022 Drawdown (2022-01-03 to 2022-10-12),2022-06-22,83.09229384746149
2022 Drawdown (2022-01-03 to 2022-10-12),2022-06-23,83.72062701901173
2022 Drawdown (2022-01-03 to 2022-10-12),2022-06-24,85.14884616218089
2022 Drawdown (2022-01-03 to 2022-10-12),2022-06-27,84.84071333124284
2022 Drawdown (2022-01-03 to 2022-10-12),2022-06-28,83.89363291205576
2022 Drawdown (2022-01-03 to 2022-10-12),2022-06-29,83.96679391420922
